City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
port elizabeth,-33.918,25.5701,52.11,93,0,2.3,ZA,1624422912
new norfolk,-42.7826,147.0587,51.93,80,100,1.54,AU,1624422914
oktyabrskoye,43.0645,44.7417,75.34,73,0,2.24,RU,1624422915
kapaa,22.0752,-159.319,84.18,77,40,3.0,US,1624422916
san rafael,-34.6177,-68.3301,47.7,72,64,4.23,AR,1624422919
hami,42.8,93.45,85.64,21,50,4.63,CN,1624422920
mataura,-46.1927,168.8643,48.47,97,100,1.25,NZ,1624422921
iqaluit,63.7506,-68.5145,37.13,74,90,18.99,CA,1624422922
leningradskiy,69.3833,178.4167,46.18,62,65,11.34,RU,1624422924
bengkulu,-3.8004,102.2655,83.25,66,89,5.53,ID,1624422925
lalibela,12.0333,39.0333,67.03,35,33,0.34,ET,1624422926
isangel,-19.55,169.2667,75.31,69,75,13.8,VU,1624422928
jamestown,42.097,-79.2353,52.52,87,20,6.91,US,1624422750
hobart,-42.8794,147.3294,52.27,81,0,1.99,AU,1624422931
hilo,19.7297,-155.09,80.28,77,90,8.05,US,1624422641
bloemfontein,-29.1211,26.214,40.48,75,0,3.44,ZA,1624422933
yellowknife,62.456,-114.3525,54.12,54,40,26.46,CA,1624422733
sarai,53.7458,41.0213,77.86,68,0,4.81,RU,1624422935
faanui,-16.4833,-151.75,80.2,73,29,7.74,PF,1624422687
kahului,20.8947,-156.47,78.84,80,40,17.27,US,1624422824
davila,18.4726,120.5763,87.78,72,86,16.35,PH,1624422940
albany,42.6001,-73.9662,55.35,82,92,3.0,US,1624422716
puerto colombia,10.9878,-74.9547,78.89,86,100,15.64,CO,1624422942
kaduy,59.2,37.15,77.04,52,99,5.19,RU,1624422794
norman wells,65.282,-126.8329,68.04,49,75,13.8,CA,1624422946
cape town,-33.9258,18.4232,58.87,85,75,1.99,ZA,1624422936
gimli,50.6336,-96.9907,66.22,72,95,9.22,CA,1624422948
codrington,-38.2667,141.9667,55.49,83,100,16.78,AU,1624422949
ulaanbaatar,47.9077,106.8832,73.53,38,40,4.47,MN,1624422950
lebu,-37.6167,-73.65,52.0,93,100,13.69,CL,1624422952
longyearbyen,78.2186,15.6401,37.24,81,75,11.5,SJ,1624422953
thompson,55.7435,-97.8558,60.96,44,75,9.22,CA,1624422881
mar del plata,-38.0023,-57.5575,54.12,58,0,11.99,AR,1624422888
